,Feature,Median_Positive,Median_Negative,IQR_Positive,IQR_Negative,Min_Positive,Min_Negative,Max_Positive,Max_Negative,MannWhitney_U,p_raw,Cliffs_Delta,Effect_Size,n_pos,n_neg,p_adj,reject
0,explanation,0.034,0.066,0.037,0.06,0.0,0.0,0.15,0.286,13376.0,0.0,-0.456,medium,110,447,0.0,True
1,causal,0.071,0.042,0.073,0.048,0.0,0.0,0.273,0.25,33572.5,0.0,0.366,medium,110,447,0.0,True
2,rel_entropy,1.993,2.118,0.292,0.236,1.179,1.407,2.378,2.465,15613.0,0.0,-0.365,medium,110,447,0.0,True
3,rel_top2_dom,0.13,0.082,0.131,0.118,0.0,0.0,0.488,0.451,32576.0,0.0,0.325,small,110,447,0.0,True
4,nucl_NN_relprop,0.401,0.345,0.107,0.114,0.0,0.107,0.62,0.596,31875.5,0.0,0.297,small,110,447,0.0,True
5,joint,0.306,0.263,0.118,0.124,0.0,0.053,0.615,0.563,31457.5,0.0,0.28,small,110,447,0.0,True
6,edu_len_p90,56.0,61.0,15.9,14.1,31.0,36.0,219.0,117.4,18653.5,0.0,-0.241,small,110,447,0.0,True
7,edu_len_std,18.339,19.893,6.779,5.994,9.542,10.92,87.624,45.148,18884.0,0.0,-0.232,small,110,447,0.001,True
8,topic,0.0,0.0,0.0,0.019,0.0,0.0,0.129,0.1,19964.0,0.0,-0.188,small,110,447,0.001,True
9,contingency,0.0,0.019,0.027,0.036,0.0,0.0,0.091,0.115,19632.0,0.001,-0.201,small,110,447,0.002,True
10,attribution,0.052,0.067,0.06,0.054,0.0,0.0,0.267,0.214,19958.0,0.002,-0.188,small,110,447,0.005,True
11,elaboration,0.15,0.172,0.094,0.085,0.0,0.028,0.35,0.405,19955.5,0.002,-0.188,small,110,447,0.005,True
12,tree_depth,12.0,13.0,4.0,2.0,6.0,6.0,22.0,20.0,20183.0,0.003,-0.179,small,110,447,0.007,True
13,same-unit,0.025,0.035,0.047,0.035,0.0,0.0,0.214,0.148,20243.0,0.004,-0.177,small,110,447,0.007,True
14,nucl_NS_relprop,0.372,0.393,0.117,0.104,0.0,0.167,0.591,0.727,20397.0,0.006,-0.17,small,110,447,0.01,True
15,nucl_SN_relprop,0.235,0.26,0.119,0.103,0.05,0.058,0.636,0.556,20547.5,0.008,-0.164,small,110,447,0.012,True
16,edu_len_mean,34.083,35.116,8.315,7.488,18.292,21.0,95.818,57.219,20707.5,0.01,-0.158,small,110,447,0.016,True
17,num_edus,50.0,55.0,39.75,16.5,11.0,12.0,185.0,160.0,21128.5,0.022,-0.141,negligible,110,447,0.032,True
18,context,0.071,0.059,0.05,0.053,0.0,0.0,0.364,0.227,27924.0,0.027,0.136,negligible,110,447,0.037,True
19,adversative,0.112,0.1,0.078,0.062,0.0,0.0,0.312,0.23,27548.0,0.05,0.121,negligible,110,447,0.065,False
20,depth_per_edu,0.245,0.231,0.137,0.061,0.092,0.094,0.727,0.583,27330.5,0.069,0.112,negligible,110,447,0.086,False
21,evaluation,0.034,0.043,0.049,0.049,0.0,0.0,0.167,0.238,22116.5,0.102,-0.1,negligible,110,447,0.115,False
22,restatement,0.0,0.0,0.021,0.022,0.0,0.0,0.093,0.182,22281.5,0.1,-0.094,negligible,110,447,0.115,False
23,mode,0.0,0.016,0.024,0.024,0.0,0.0,0.125,0.118,22267.5,0.111,-0.094,negligible,110,447,0.12,False
24,purpose,0.011,0.015,0.025,0.032,0.0,0.0,0.15,0.118,22779.0,0.213,-0.073,negligible,110,447,0.221,False
25,organization,0.02,0.021,0.043,0.041,0.0,0.0,0.4,0.133,23492.5,0.463,-0.044,negligible,110,447,0.463,False
